"","length_url","length_hostname","ip","nb_dots","nb_hyphens","nb_at","nb_qm","nb_and","nb_or","nb_eq","nb_underscore","nb_tilde","nb_percent","nb_slash","nb_star","nb_colon","nb_comma","nb_semicolumn","nb_dollar","nb_space","nb_www","nb_com","nb_dslash","http_in_path","https_token","ratio_digits_url","ratio_digits_host","punycode","port","tld_in_path","tld_in_subdomain","abnormal_subdomain","nb_subdomains","prefix_suffix","random_domain","shortening_service","path_extension","nb_redirection","nb_external_redirection","length_words_raw","char_repeat","shortest_words_raw","shortest_word_host","shortest_word_path","longest_words_raw","longest_word_host","longest_word_path","avg_words_raw","avg_word_host","avg_word_path","phish_hints","domain_in_brand","brand_in_subdomain","brand_in_path","suspecious_tld","statistical_report","nb_hyperlinks","ratio_intHyperlinks","ratio_extHyperlinks","ratio_nullHyperlinks","nb_extCSS","ratio_intRedirection","ratio_extRedirection","ratio_intErrors","ratio_extErrors","login_form","external_favicon","links_in_tags","submit_email","ratio_intMedia","ratio_extMedia","sfh","iframe","popup_window","safe_anchor","onmouseover","right_clic","empty_title","domain_in_title","domain_with_copyright","whois_registered_domain","domain_registration_length","domain_age","web_traffic","dns_record","google_index","page_rank","status","id"
"11",38,29,"0",2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,"0","0",0,0,0,0,"0","0","0",2,"0","0","0",0,0,0,2,0,11,11,0,13,13,0,12,12,0,0,"0",0,0,"0",0,1,1,0,0,0,0,0,0,0,"0","0",0,0,100,0,0,0,0,0,0,"0","0","1","0","0",256,2301,22884,0,"1","3","1",11
"12",29,20,"0",2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,"0","0",0,0,0,0,"0","0","0",2,"0","0","0",0,0,0,2,3,3,3,0,12,12,0,7.5,7.5,0,0,"0",0,0,"0",0,131,0.992366412,0.007633588,0,0,0,0,0,0,"0","0",0,0,0,100,0,0,0,100,0,"0","0","0","1","0",239,5239,643440,0,"0","3","0",12
"13",32,25,"0",2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,"0","1",0.0625,0.08,0,0,"0","0","0",2,"0","0","1",0,1,0,2,0,8,8,0,12,12,0,10,10,0,0,"1",0,0,"0",0,14,0.071428571,0.928571429,0,0,0,0.846153846,0,0.615384615,"0","1",0,0,0,0,0,0,0,14.28571429,0,"0","0","1","0","0",374,7295,0,0,"1","5","1",13
"14",126,50,"1",4,1,0,1,2,0,3,2,0,0,4,0,1,0,0,0,0,0,1,0,"0","1",0.150793651,0,0,0,"0","1","0",3,"1","0","0",0,1,0,13,3,2,3,2,17,13,17,7.769230769,8.4,7.375,0,"0",0,0,"0",0,51,1,0,0,0,0,0,0,0,"0","0",100,0,100,0,0,0,0,100,0,"0","0","1","1","0",25,3992,5697976,0,"1","0","1",14
"15",39,19,"0",3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,"0","1",0,0,0,0,"0","0","0",3,"0","0","0",0,1,0,4,3,3,3,4,11,11,7,6.25,7,5.5,0,"0",0,0,"0",0,18,0.888888889,0.111111111,0,0,0,0,0,0,"0","0",50,0,100,0,0,0,0,0,0,"0","0","1","0","0",3456,5309,37739,0,"0","5","0",15
"16",47,39,"0",4,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,"0","1",0.127659574,0.153846154,0,0,"0","0","0",3,"0","0","1",0,0,0,6,4,1,1,0,9,9,0,5,5,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,"0","1","1","0","0",232,5612,0,0,"1","5","1",16
"17",19,10,"0",1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,"0","0",0,0,0,0,"0","0","0",1,"0","0","0",0,0,0,1,1,7,7,0,7,7,0,7,7,0,0,"0",0,0,"0",0,112,0.857142857,0.142857143,0,0,0,0.125,0,0,"0","0",86.95652174,0,7.142857143,92.85714286,0,0,0,100,0,"0","0","0","1","1",0,-1,1583366,0,"0","3","0",17
"18",34,26,"0",2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,"0","1",0,0,0,0,"0","0","0",2,"0","0","0",0,1,0,2,4,3,3,0,18,18,0,10.5,10.5,0,0,"0",0,0,"0",0,84,0.357142857,0.642857143,0,1,0,0.12962963,0,0.074074074,"0","1",75,0,0,100,0,0,0,24.61538462,0,"0","0","1","1","0",248,3876,1903447,0,"0","4","0",18
"19",70,38,"0",4,2,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,"0","0",0.085714286,0.157894737,0,0,"0","0","0",3,"0","0","1",0,0,0,10,1,1,1,1,9,8,9,4.8,4.833333333,4.75,0,"0",0,0,"0",0,21,0.19047619,0.80952381,0,1,0,0.176470588,0,0,"0","1",0,0,20,80,0,0,0,25,0,"0","0","1","1","0",228,5616,0,0,"1","5","1",19
"20",37,22,"0",2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,"0","1",0,0,0,0,"0","0","0",2,"0","0","0",0,1,0,3,3,3,3,7,14,14,7,8,8.5,7,0,"0",0,0,"0",0,223,0.995515695,0.004484305,0,0,0,0,0,0,"0","0",100,0,100,0,0,0,0,98.21428571,0,"0","0","1","1","0",449,7586,982,0,"0","5","0",20
"21",17,10,"0",2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,"0","1",0,0,0,0,"0","0","0",2,"0","0","0",0,0,0,2,0,3,3,0,3,3,0,3,3,0,0,"0",0,0,"0",0,12,0,1,0,2,0,0.583333333,0,0,"0","1",0,0,0,100,0,0,0,0,0,"0","0","1","0","0",53,7253,943419,0,"1","1","1",21
"22",82,12,"0",1,1,0,0,0,0,4,0,0,0,8,0,1,0,0,0,0,0,0,0,"0","0",0,0,0,0,"0","0","0",1,"1","1","0",0,0,0,11,3,3,8,3,11,8,11,5.363636364,8,5.1,0,"0",0,0,"0",0,1,1,0,0,0,0,0,0,0,"0","0",100,0,0,0,0,0,0,0,0,"0","1","1","0","0",267,98,0,0,"1","0","1",22
"23",61,18,"0",2,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,"0","0",0,0,0,0,"0","0","0",2,"1","1","0",0,2,0,6,1,3,3,9,12,5,12,7.333333333,4,10.66666667,0,"0",0,0,"0",0,22,0.727272727,0.272727273,0,0,0,0,0,0,"0","1",60,0,100,0,0,0,0,0,0,"0","0","1","0","0",26,5452,125976,0,"1","3","0",23
"24",155,6,"1",2,0,0,1,0,0,2,0,0,0,6,0,1,0,0,0,0,0,0,0,"0","0",0.632258065,0,0,0,"0","0","0",2,"0","0","0",0,0,0,9,5,2,3,2,98,3,98,15.11111111,3,16.625,0,"0",0,0,"0",0,34,0.411764706,0.588235294,0,0,0,0.1,0,0,"0","1",40,0,100,0,0,0,0,50,0,"0","0","1","1","0",274,3744,0,0,"1","2","1",24
"25",53,22,"0",3,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,"0","0",0,0,0,0,"0","0","0",3,"1","0","0",0,1,0,7,4,1,3,1,14,14,7,5,8.5,3.6,0,"0",0,0,"0",0,53,0.660377358,0.339622642,0,0,0,0,0,0.055555556,"0","0",100,0,20,80,0,0,0,23.07692308,0,"0","0","1","1","0",102,5011,33165,0,"1","4","0",25
"26",21,13,"0",2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,"0","1",0,0,0,0,"0","0","0",2,"0","0","0",0,1,0,2,3,3,3,0,6,6,0,4.5,4.5,0,0,"0",0,0,"0",0,373,0.857908847,0.142091153,0,0,0,0.20754717,0,0.264150943,"0","1",34.14634146,0,95,5,0,0,0,93.33333333,0,"0","0","1","1","0",190,7501,408392,0,"0","3","0",26
"27",29,20,"0",2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,"0","0",0,0,0,0,"0","0","0",2,"0","0","0",0,0,0,2,3,3,3,0,12,12,0,7.5,7.5,0,0,"0",0,0,"0",0,92,0.913043478,0.086956522,0,0,0,0.625,0,0,"0","0",94.73684211,0,100,0,0,0,0,50,0,"0","0","1","1","0",624,5219,5928917,0,"0","3","0",27
"28",107,19,"1",2,1,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,1,0,0,"0","1",0.158878505,0,0,0,"0","0","0",2,"1","0","0",0,0,0,10,6,2,3,2,32,11,32,8.6,7,9,3,"0",0,0,"0",0,88,0.897727273,0.102272727,0,0,0,0.555555556,0,0.222222222,"1","0",85.71428571,0,100,0,0,0,0,85.71428571,0,"0","0","1","0","0",145,2047,0,0,"1","0","1",28
"29",117,42,"1",4,0,0,1,2,0,3,2,0,0,5,0,1,0,0,0,0,0,1,0,"0","1",0.162393162,0,0,0,"0","1","0",3,"0","0","0",0,1,0,11,5,2,3,2,17,13,17,8.363636364,8.75,8.142857143,0,"0",0,0,"0",0,4,1,0,0,0,0,0,0,0,"0","0",100,0,0,0,0,0,0,100,0,"0","0","1","0","0",14,4003,5828815,0,"1","0","1",29
"30",34,27,"0",2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,"0","1",0,0,0,0,"0","0","0",2,"0","0","0",0,1,0,2,1,6,6,0,16,16,0,11,11,0,0,"0",0,0,"0",0,28,0.892857143,0.107142857,0,0,0,0.666666667,0,0,"0","0",66.66666667,0,0,0,0,0,0,90.47619048,0,"0","0","1","1","0",292,4455,780526,0,"0","3","0",30
"31",73,21,"0",2,0,0,0,0,0,0,3,0,0,4,0,2,0,0,0,0,0,2,0,"0","0",0,0,0,0,"0","0","0",2,"0","0","0",0,0,0,8,2,4,7,4,9,9,8,6.75,8,6.333333333,0,"0",0,0,"0",0,536,0.925373134,0.074626866,0,0,0,0.05,0,0,"0","0",100,0,100,0,0,0,0,13.04347826,0,"0","0","0","1","0",602,6338,289,0,"0","5","0",31
"32",38,30,"0",2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,"0","1",0,0,0,0,"0","0","0",2,"0","0","0",0,0,0,2,1,9,9,0,16,16,0,12.5,12.5,0,0,"0",0,0,"0",0,6,1,0,0,0,0,0,0,0,"0","0",100,0,100,0,0,0,0,0,0,"0","0","1","0","0",2160,8431,0,0,"1","5","0",32
"33",28,21,"0",2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,"0","1",0,0,0,0,"0","0","0",2,"0","1","0",0,0,0,2,0,3,3,0,14,14,0,8.5,8.5,0,0,"0",0,0,"0",0,24,0,1,0,4,0,0.333333333,0,0,"0","1",0,0,0,100,0,0,0,0,0,"0","0","1","0","0",131,7174,0,0,"1","1","1",33
"34",40,17,"0",3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,"0","1",0,0,0,0,"0","0","0",3,"0","0","0",0,1,0,6,3,1,3,1,9,9,4,4,6,3,0,"0",0,0,"0",0,178,0.662921348,0.337078652,0,0,0,0.15,0,0.633333333,"0","1",30.95238095,0,100,0,0,0,0,66.66666667,0,"0","0","0","0","0",619,8145,12421,0,"0","6","0",34
"35",53,23,"0",3,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,1,0,0,"0","1",0,0,0,0,"0","0","0",3,"0","0","0",0,1,0,7,3,2,3,2,15,15,7,5.142857143,9,3.6,0,"0",0,0,"0",0,121,0.20661157,0.79338843,0,0,0,0.09375,0,0.552083333,"0","1",2.702702703,0,25,75,0,0,0,38.23529412,0,"0","0","1","1","0",920,6385,37834,0,"0","5","0",35
"36",29,20,"0",2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,"0","0",0,0,0,0,"0","0","0",2,"0","0","0",0,0,0,1,0,14,14,0,14,14,0,14,14,0,0,"0",0,0,"0",0,46,0.391304348,0.608695652,0,1,0,0.464285714,0,0.071428571,"0","1",80,0,0,0,0,0,0,14.81481481,0,"0","0","1","1","0",220,3798,2373127,0,"0","3","0",36
"37",57,14,"0",3,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,"0","1",0,0,0,0,"1","0","0",3,"1","0","0",0,1,0,8,3,2,3,2,8,7,8,4.875,5,4.833333333,3,"0",0,0,"0",0,151,0.205298013,0.794701987,0,19,0,0.033333333,0,0.108333333,"1","1",17.39130435,0,40,60,0,0,0,46.66666667,0,"0","0","1","0","0",496,-1,0,0,"1","0","1",37
"38",34,26,"0",2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,"0","1",0.088235294,0.115384615,0,0,"0","0","0",2,"0","0","0",0,0,0,2,4,8,8,0,13,13,0,10.5,10.5,0,0,"0",0,0,"0",0,119,0.218487395,0.781512605,0,0,0,0.021505376,0,0.010752688,"0","1",20,0,87.5,12.5,0,0,0,0,0,"0","0","1","1","0",644,1547,4639,0,"1","2","1",38
"39",26,17,"0",2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,"0","0",0,0,0,0,"0","0","0",2,"0","0","0",0,0,0,2,3,3,3,0,9,9,0,6,6,0,0,"0",0,0,"0",0,121,0.909090909,0.090909091,0,0,0,0,0,0.090909091,"0","0",100,0,84.21052632,15.78947368,0,0,0,55.55555556,0,"0","0","0","0","0",271,2651,386861,0,"0","4","0",39
"40",41,34,"0",2,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,"0","1",0.12195122,0.147058824,0,0,"0","0","0",2,"0","0","0",0,0,0,4,4,5,5,0,10,10,0,6.75,6.75,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,"0","1","1","0","0",340,2581,3704884,0,"1","4","1",40
"41",40,26,"0",3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,"0","1",0,0,0,0,"0","0","0",3,"0","0","0",0,0,0,3,0,5,8,5,10,10,5,7.666666667,9,5,0,"0",0,0,"0",0,38,1,0,0,0,0,0,0,0,"0","0",100,0,100,0,0,0,0,100,0,"1","0","1","1","1",0,-1,332453,0,"0","4","0",41
"42",34,15,"0",1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,"0","1",0,0,0,0,"0","0","0",1,"0","0","0",0,1,0,3,3,3,12,3,12,12,6,7,12,4.5,0,"0",0,0,"0",0,55,0.872727273,0.127272727,0,0,0,0,0,0.285714286,"0","1",77.77777778,0,100,0,0,0,0,25,0,"0","0","0","0","0",43,3245,0,0,"1","2","1",42
"43",70,22,"0",2,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,"0","1",0,0,0,0,"0","0","0",2,"0","0","0",0,0,0,6,1,4,18,4,18,18,10,9,18,7.2,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,"0","1","1","0","0",4,4386,0,0,"1","3","0",43
"44",45,17,"0",2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,"0","1",0,0,0,0,"0","0","0",2,"0","0","0",0,1,0,4,4,3,3,8,11,9,11,7.75,6,9.5,0,"0",0,0,"0",0,199,0.884422111,0.115577889,0,0,0,0.043478261,0,0.173913043,"0","1",80,0,21.05263158,78.94736842,0,0,0,0,0,"0","0","0","0","0",448,5396,3980,0,"0","6","0",44
"45",41,26,"0",3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,"0","1",0,0,0,0,"0","1","0",3,"0","0","0",0,1,0,4,1,3,8,3,13,13,3,6.75,10.5,3,0,"0",0,0,"0",0,142,0.901408451,0.098591549,0,0,0,0.214285714,0,0.142857143,"0","0",90.90909091,0,100,0,0,0,0,44.44444444,0,"0","0","0","0","0",351,8049,1590,0,"0","5","0",45
"46",44,19,"0",1,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,"0","1",0,0,0,0,"0","0","0",1,"1","0","0",0,0,0,5,0,4,4,4,11,11,6,5.8,7.5,4.666666667,0,"0",0,0,"0",0,11,0.909090909,0.090909091,0,0,0,0,0,0,"0","0",100,0,100,0,0,0,0,50,0,"0","0","0","0","0",198,3455,0,0,"1","0","1",46
"47",72,22,"0",4,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,"0","1",0.013888889,0,0,0,"0","0","0",3,"0","0","1",0,0,0,6,4,2,3,2,20,11,20,8.833333333,7,9.75,0,"0",0,0,"0",0,1,1,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,"0","0","1","0","0",318,-1,0,0,"0","0","1",47
"48",268,26,"0",3,0,0,1,1,0,2,0,0,0,5,0,1,0,1,0,0,0,1,0,"0","1",0.145522388,0.115384615,0,0,"1","0","0",3,"0","0","0",0,0,0,9,10,2,10,2,200,11,200,27.55555556,10.5,32.42857143,0,"0",0,0,"0",0,1,0,1,0,0,0,0,0,0,"0","0",0,0,0,100,0,0,0,0,0,"0","1","1","0","0",952,7083,17964,0,"1","3","1",48
"49",100,24,"0",3,1,0,0,0,0,0,5,0,0,7,0,1,0,0,0,0,1,0,0,"0","1",0.11,0,0,0,"0","0","0",3,"1","0","0",0,0,0,14,6,2,3,2,16,16,8,5.428571429,9.5,4.75,3,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,"0","1","1","1","0",251,6323,2131372,0,"0","5","0",49
"50",66,38,"0",5,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,"0","0",0,0,0,0,"0","0","0",3,"0","0","1",0,0,0,9,3,1,1,3,9,7,9,5.111111111,4.833333333,5.666666667,1,"0",0,0,"0",0,21,0.19047619,0.80952381,0,1,0,0.176470588,0,0,"0","1",0,0,20,80,0,0,0,25,0,"0","0","1","1","0",228,5616,0,0,"1","5","1",50
"51",52,24,"0",5,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,"0","1",0.038461538,0.083333333,0,0,"0","0","0",3,"0","0","1",0,0,0,6,1,1,1,4,15,7,15,6,4.25,9.5,0,"0",0,0,"0",0,21,0.19047619,0.80952381,0,1,0,0.176470588,0,0,"0","1",0,0,20,80,0,0,0,25,0,"0","0","1","1","0",228,5616,0,0,"1","5","1",51
"52",30,22,"0",3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,"0","1",0,0,0,0,"0","0","0",3,"0","0","0",0,1,0,2,5,3,3,0,11,11,0,7,7,0,0,"0",0,0,"0",0,130,0.923076923,0.076923077,0,0,0,0.3,0,0.1,"0","0",96,0,0,100,0,0,0,64.28571429,0,"0","0","1","0","0",0,-1,800711,0,"0","2","0",52
"53",118,42,"1",4,0,0,1,2,0,3,2,0,0,4,0,1,0,0,0,0,0,1,0,"0","1",0.220338983,0,0,0,"0","1","0",3,"0","0","0",0,1,0,12,9,2,3,2,17,13,17,7.833333333,8.75,7.375,0,"0",0,0,"0",0,51,1,0,0,0,0,0,0,0,"0","0",100,0,100,0,0,0,0,100,0,"0","0","1","1","0",25,3993,5707171,0,"1","0","1",53
"54",33,26,"0",2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,"0","1",0,0,0,0,"0","0","0",2,"0","0","1",0,1,0,2,1,8,8,0,13,13,0,10.5,10.5,0,0,"1",0,0,"0",0,14,0.071428571,0.928571429,0,0,0,0.846153846,0,0.615384615,"0","1",0,0,0,0,0,0,0,14.28571429,0,"0","0","1","0","0",374,7295,0,0,"1","5","1",54
"55",17,5,"0",1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,"0","0",0.117647059,0.2,0,0,"0","0","0",1,"0","0","0",0,1,0,2,0,2,2,3,3,2,3,2.5,2,3,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,"0","0","0","0","1",0,-1,5918826,0,"1","3","1",55
"56",43,12,"0",3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,"0","0",0.046511628,0,0,0,"0","0","0",3,"0","1","0",0,0,0,6,3,3,3,3,7,4,7,4.333333333,3.5,4.75,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,"0","1","1","1","0",0,-1,48450,0,"0","6","0",56
"57",42,8,"0",2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,"0","1",0,0,0,0,"0","0","0",2,"0","1","0",0,1,0,6,0,3,4,3,6,4,6,4.333333333,4,4.4,0,"0",0,0,"0",0,756,1,0,0,0,0,0,0,0,"0","0",100,0,100,0,0,0,0,100,0,"0","0","1","0","0",197,-1,569875,0,"1","5","0",57
"58",35,27,"0",2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,"0","0",0,0,0,0,"0","0","0",2,"0","0","1",0,0,0,2,1,8,8,0,14,14,0,11,11,0,0,"1",0,0,"0",0,14,0.071428571,0.928571429,0,0,0,0.846153846,0,0.615384615,"0","1",0,0,0,0,0,0,0,14.28571429,0,"0","0","1","0","0",374,7295,0,0,"1","5","1",58
"59",46,18,"0",1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,"0","1",0,0,0,0,"0","0","0",1,"1","0","0",0,1,0,3,0,9,14,9,14,14,9,10.66666667,14,9,0,"0",0,0,"0",0,79,0.278481013,0.721518987,0,10,0,0.01754386,0,0.01754386,"0","1",20,0,11.11111111,88.88888889,0,0,0,40,0,"0","0","1","1","0",3557,8130,1229068,0,"0","4","0",59
"60",36,9,"0",1,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,"0","1",0,0,0,0,"0","0","0",1,"0","1","0",0,1,0,4,0,4,4,4,8,4,8,5.25,4,5.666666667,1,"0",0,0,"0",0,183,0.967213115,0.032786885,0,0,0,0.333333333,0,0,"0","1",87.5,0,93.33333333,6.666666667,0,0,0,89.65517241,0,"0","0","0","0","0",310,2247,50432,0,"0","5","0",60
"61",60,17,"0",2,2,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,"0","0",0.033333333,0,0,0,"0","0","0",2,"1","0","1",0,1,0,9,3,1,3,1,12,9,12,4.444444444,6,4,0,"1",0,0,"0",0,100,0.47,0.53,0,0,0,0.20754717,0,0.226415094,"0","1",31.81818182,0,9.090909091,90.90909091,0,0,0,66.66666667,0,"0","0","0","0","0",285,10674,23,0,"1","8","0",61
